Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
gold_01_2500,published,managed_by_android,false,en_US;2500 Gold;Gives 2500 Gold,true,1990000,
gold_02_6500,published,managed_by_android,false,en_US;6500 Gold;Gives 6500 Gold,true,4990000,
gold_03_14000,published,managed_by_android,false,en_US;14000 Gold;Gives 14000 Gold,true,9990000,
gold__04_32000,published,managed_by_android,false,en_US;32000 Gold;Gives 32000 Gold,true,19990000,
gold_05_75000,published,managed_by_android,false,en_US;75000 Gold;Gives 75000 Gold,true,49990000,
gold_06_170000,published,managed_by_android,false,en_US;170000 Gold;Gives 170000 Gold,true,99990000,
gems_01_100,published,managed_by_android,false,en_US;100 Gems;Gives 100 Gems,true,1990000,
gems_02_250,published,managed_by_android,false,en_US;250 Gems;Gives 250 Gems,true,4990000,
gems_03_550,published,managed_by_android,false,en_US;550 Gems;Gives 550 Gems,true,9990000,
gems_04_1250,published,managed_by_android,false,en_US;1250 Gems;Gives 1250 Gems,true,19990000,
gems_05_3250,published,managed_by_android,false,en_US;3250 Gems;Gives 3250 Gems,true,49990000,
gems_06_7250,published,managed_by_android,false,en_US;7250 Gems;Gives 7250 Gems,true,99990000,
